SpatialLocation,Child_Poverty,Date
Allegany_County,2459,2008
Anne_Arundel_County,8449,2008
Baltimore_County,16597,2008
Calvert_County,1431,2008
Caroline_County,1185,2008
Carroll_County,2556,2008
Cecil_County,2595,2008
Charles_County,2993,2008
Dorchester_County,1469,2008
Frederick_County,3692,2008
Garrett_County,1309,2008
Harford_County,4291,2008
Howard_County,3369,2008
Kent_County,604,2008
Montgomery_County,16589,2008
Prince_George's_County,16676,2008
Queen_Anne's_County,837,2008
St._Mary's_County,2591,2008
Somerset_County,1272,2008
Talbot_County,875,2008
Washington_County,4162,2008
Wicomico_County,3665,2008
Worcester_County,1602,2008
Baltimore_city,36563,2008
Allegany_County,2885,2009
Anne_Arundel_County,10873,2009
Baltimore_County,17359,2009
Calvert_County,1701,2009
Caroline_County,1525,2009
Carroll_County,2708,2009
Cecil_County,3093,2009
Charles_County,3223,2009
Dorchester_County,1683,2009
Frederick_County,4040,2009
Garrett_County,1154,2009
Harford_County,4634,2009
Howard_County,4067,2009
Kent_County,691,2009
Montgomery_County,19496,2009
Prince_George's_County,21310,2009
Queen_Anne's_County,1035,2009
St._Mary's_County,2941,2009
Somerset_County,1367,2009
Talbot_County,997,2009
Washington_County,5243,2009
Wicomico_County,3984,2009
Worcester_County,1814,2009
Baltimore_city,39342,2009
Allegany_County,3144,2010
Anne_Arundel_County,10846,2010
Baltimore_County,18970,2010
Calvert_County,1810,2010
Caroline_County,1556,2010
Carroll_County,2827,2010
Cecil_County,3627,2010
Charles_County,3258,2010
Dorchester_County,1784,2010
Frederick_County,4493,2010
Garrett_County,1572,2010
Harford_County,5533,2010
Howard_County,4457,2010
Kent_County,705,2010
Montgomery_County,21615,2010
Prince_George's_County,24700,2010
Queen_Anne's_County,1135,2010
St._Mary's_County,3018,2010
Somerset_County,1273,2010
Talbot_County,1083,2010
Washington_County,5536,2010
Wicomico_County,5000,2010
Worcester_County,1881,2010
Baltimore_city,44646,2010
Allegany_County,3209,2011
Anne_Arundel_County,11306,2011
Baltimore_County,21674,2011
Calvert_County,1970,2011
Caroline_County,1643,2011
Carroll_County,2881,2011
Cecil_County,3665,2011
Charles_County,4065,2011
Dorchester_County,2060,2011
Frederick_County,5091,2011
Garrett_County,1330,2011
Harford_County,7182,2011
Howard_County,5543,2011
Kent_County,755,2011
Montgomery_County,20330,2011
Prince_George's_County,24886,2011
Queen_Anne's_County,1307,2011
St._Mary's_County,3362,2011
Somerset_County,1388,2011
Talbot_County,1221,2011
Washington_County,5796,2011
Wicomico_County,5110,2011
Worcester_County,2072,2011
Baltimore_city,46393,2011
Allegany_County,3253,2012
Anne_Arundel_County,11281,2012
Baltimore_County,22765,2012
Calvert_County,2007,2012
Caroline_County,1813,2012
Carroll_County,3034,2012
Cecil_County,3897,2012
Charles_County,4421,2012
Dorchester_County,2141,2012
Frederick_County,5219,2012
Garrett_County,1310,2012
Harford_County,6168,2012
Howard_County,5099,2012
Kent_County,741,2012
Montgomery_County,19425,2012
Prince_George's_County,29845,2012
Queen_Anne's_County,1228,2012
St._Mary's_County,3333,2012
Somerset_County,1507,2012
Talbot_County,1110,2012
Washington_County,6627,2012
Wicomico_County,5347,2012
Worcester_County,1936,2012
Baltimore_city,43892,2012
