SpatialLocation,lat,long
Allegany_County,39.621909,-78.802613
Anne_Arundel_County,39.05786,-76.576891
Baltimore_County,39.372206,-76.612627
Calvert_County,38.506067,-76.517659
Caroline_County,38.875199,-75.830758
Carroll_County,39.553101,-77.010919
Cecil_County,39.592628,-75.951459
Charles_County,38.522057,-76.972271
Dorchester_County,38.546629,-75.983875
Frederick_County,39.46373,-77.413925
Garrett_County,39.514536,-79.309177
Harford_County,39.534674,-76.290245
Howard_County,39.219273,-76.860091
Kent_County,39.26054,-76.053728
Montgomery_County,39.072608,-77.124386
Prince_George's_County,38.906334,-76.882176
Queen_Anne's_County,39.047829,-76.099491
St._Mary's_County,38.293917,-76.597626
Somerset_County,38.105729,-75.768781
Talbot_County,38.768996,-76.113778
Washington_County,39.614696,-77.774436
Wicomico_County,38.377323,-75.594531
Worcester_County,38.270515,-75.263442
Baltimore_city,39.307956,-76.617016
